date,value
2021-5-31,6
2021-5-30,5
2021-5-30,23
2021-5-30,4
2021-5-29,4
2021-5-29,4
2021-5-28,7
2021-5-27,5
2021-5-26,4
2021-5-26,10
2021-5-24,4
2021-5-24,4
2021-5-23,4
2021-5-23,4
2021-5-23,5
2021-5-23,4
2021-5-22,4
2021-5-22,6
2021-5-22,9
2021-5-22,14
2021-5-22,5
2021-5-22,14
2021-5-21,6
2021-5-21,6
2021-5-20,4
2021-5-18,7
2021-5-18,5
2021-5-16,4
2021-5-16,4
2021-5-16,5
2021-5-16,4
2021-5-16,6
2021-5-16,5
2021-5-15,5
2021-5-15,4
2021-5-15,5
2021-5-14,4
2021-5-13,4
2021-5-13,4
2021-5-13,8
2021-5-12,4
2021-5-12,4
2021-5-11,4
2021-5-10,7
2021-5-9,7
2021-5-9,8
2021-5-9,4
2021-5-9,5
2021-5-9,4
2021-5-9,5
2021-5-8,4
2021-5-8,4
2021-5-8,5
2021-5-8,4
2021-5-8,4
2021-5-8,4
2021-5-7,6
2021-5-6,5
2021-5-5,4
2021-5-3,5
2021-5-2,4
2021-5-2,4
2021-5-2,4
2021-5-2,5
2021-5-2,4
2021-5-1,4
2021-5-1,6
2021-5-1,5
2021-5-1,5
2021-5-1,4
2021-4-29,6
2021-4-28,5
2021-4-28,5
2021-4-27,5
2021-4-27,5
2021-4-26,5
2021-4-26,7
2021-4-25,4
2021-4-25,5
2021-4-25,4
2021-4-25,4
2021-4-24,5
2021-4-22,5
2021-4-19,6
2021-4-19,5
2021-4-18,5
2021-4-18,6
2021-4-18,6
2021-4-18,6
2021-4-17,6
2021-4-17,9
2021-4-16,4
2021-4-15,16
2021-4-15,4
2021-4-15,4
2021-4-15,6
2021-4-15,4
2021-4-13,4
2021-4-12,4
2021-4-11,4
2021-4-11,4
2021-4-10,4
2021-4-10,4
2021-4-10,4
2021-4-10,4
2021-4-9,6
2021-4-8,6
2021-4-7,7
2021-4-7,5
2021-4-7,4
2021-4-6,4
2021-4-6,4
2021-4-5,7
2021-4-5,5
2021-4-4,6
2021-4-4,6
2021-4-4,4
2021-4-3,7
2021-4-3,5
2021-4-3,6
2021-4-3,7
2021-3-31,6
2021-3-31,5
2021-3-28,7
2021-3-28,4
2021-3-28,6
2021-3-28,4
2021-3-27,4
2021-3-27,6
2021-3-27,4
2021-3-26,9
2021-3-26,8
2021-3-26,4
2021-3-26,5
2021-3-26,7
2021-3-23,4
2021-3-22,11
2021-3-22,4
2021-3-20,5
2021-3-20,8
2021-3-20,6
2021-3-18,4
2021-3-18,4
2021-3-17,5
2021-3-16,9
2021-3-16,5
2021-3-15,5
2021-3-14,4
2021-3-14,4
2021-3-14,15
2021-3-13,5
2021-3-13,4
2021-3-13,5
2021-3-13,6
2021-3-12,4
2021-3-12,4
2021-3-11,4
2021-3-11,4
2021-3-10,4
2021-3-8,4
2021-3-7,4
2021-3-6,5
2021-3-6,5
2021-3-5,5
2021-3-4,5
2021-3-3,5
2021-2-28,6
2021-2-28,4
2021-2-28,4
2021-2-28,4
2021-2-28,5
2021-2-28,4
2021-2-27,4
2021-2-27,5
2021-2-26,6
2021-2-26,4
2021-2-26,4
2021-2-21,5
2021-2-21,4
2021-2-20,5
2021-2-20,4
2021-2-20,5
2021-2-20,5
2021-2-18,4
2021-2-17,8
2021-2-16,4
2021-2-13,6
2021-2-13,4
2021-2-13,6
2021-2-13,4
2021-2-11,5
2021-2-10,4
2021-2-9,4
2021-2-9,5
2021-2-6,5
2021-2-6,4
2021-2-6,6
2021-2-6,4
2021-2-5,4
2021-2-5,4
2021-2-4,5
2021-2-3,5
2021-2-3,4
2021-2-2,6
2021-2-2,7
2021-2-1,4
2021-1-31,4
2021-1-30,5
2021-1-29,5
2021-1-28,5
2021-1-27,4
2021-1-25,5
2021-1-24,6
2021-1-24,5
2021-1-22,5
2021-1-21,4
2021-1-18,4
2021-1-17,5
2021-1-17,7
2021-1-16,5
2021-1-15,4
2021-1-11,4
2021-1-9,8
2021-1-9,4
2021-1-7,5
2021-1-6,4
2021-1-6,6
2021-1-4,4
2021-1-4,5
2021-1-4,7
2021-1-3,4
2021-1-3,5
2021-1-3,6
2021-1-3,5
2021-1-3,4
2021-1-3,8
2021-1-1,7
2021-1-1,4
2021-1-1,5
2021-1-1,4
2020-12-31,4
2020-12-31,4
2020-12-26,6
2020-12-26,4
2020-12-26,6
2020-12-26,4
2020-12-25,5
2020-12-25,5
2020-12-24,5
2020-12-22,5
2020-12-20,4
2020-12-19,6
2020-12-13,4
2020-12-12,4
2020-12-12,4
2020-12-12,4
2020-12-12,4
2020-12-10,4
2020-12-10,5
2020-12-8,6
2020-12-8,5
2020-12-6,6
2020-12-5,4
2020-12-5,6
2020-12-4,4
2020-12-1,4
2020-11-30,4
2020-11-29,11
2020-11-29,5
2020-11-28,11
2020-11-28,5
2020-11-28,4
2020-11-27,6
2020-11-27,6
2020-11-26,6
2020-11-22,4
2020-11-22,7
2020-11-22,4
2020-11-22,4
2020-11-21,6
2020-11-21,5
2020-11-21,4
2020-11-20,8
2020-11-19,4
2020-11-18,5
2020-11-18,4
2020-11-17,4
2020-11-16,4
2020-11-16,4
2020-11-16,4
2020-11-15,5
2020-11-15,4
2020-11-14,4
2020-11-14,4
2020-11-14,4
2020-11-14,5
2020-11-12,6
2020-11-12,6
2020-11-10,8
2020-11-9,4
2020-11-8,4
2020-11-8,8
2020-11-7,4
2020-11-7,4
2020-11-6,4
2020-11-5,5
2020-11-4,4
2020-11-3,5
2020-11-2,5
2020-11-1,6
2020-11-1,4
2020-11-1,4
2020-11-1,4
2020-11-1,4
2020-11-1,5
2020-10-31,4
2020-10-31,5
2020-10-31,4
2020-10-31,4
2020-10-31,7
2020-10-30,4
2020-10-30,4
2020-10-29,4
2020-10-28,4
2020-10-28,4
2020-10-25,5
2020-10-25,4
2020-10-25,4
2020-10-24,10
2020-10-22,4
2020-10-22,5
2020-10-22,4
2020-10-22,4
2020-10-21,6
2020-10-21,4
2020-10-20,4
2020-10-19,5
2020-10-19,4
2020-10-18,4
2020-10-18,5
2020-10-18,4
2020-10-17,6
2020-10-17,5
2020-10-16,6
2020-10-16,4
2020-10-16,7
2020-10-16,4
2020-10-15,4
2020-10-15,7
2020-10-14,4
2020-10-12,5
2020-10-11,4
2020-10-10,4
2020-10-10,8
2020-10-10,4
2020-10-8,7
2020-10-7,5
2020-10-7,4
2020-10-5,4
2020-10-4,7
2020-10-4,6
2020-10-3,5
2020-10-3,4
2020-10-2,4
2020-10-2,4
2020-10-1,5
2020-9-30,4
2020-9-30,4
2020-9-30,7
2020-9-29,5
2020-9-29,4
2020-9-28,6
2020-9-27,4
2020-9-27,4
2020-9-27,4
2020-9-26,4
2020-9-26,4
2020-9-26,8
2020-9-26,4
2020-9-26,5
2020-9-25,4
2020-9-23,4
2020-9-23,5
2020-9-21,5
2020-9-20,4
2020-9-20,4
2020-9-19,5
2020-9-19,4
2020-9-19,4
2020-9-19,4
2020-9-19,16
2020-9-19,5
2020-9-19,5
2020-9-18,4
2020-9-16,5
2020-9-15,6
2020-9-15,5
2020-9-14,4
2020-9-13,6
2020-9-13,7
2020-9-13,4
2020-9-13,4
2020-9-13,9
2020-9-12,6
2020-9-12,5
2020-9-12,4
2020-9-11,5
2020-9-10,5
2020-9-8,5
2020-9-7,4
2020-9-7,5
2020-9-7,7
2020-9-7,5
2020-9-6,7
2020-9-6,4
2020-9-6,4
2020-9-6,4
2020-9-6,6
2020-9-6,4
2020-9-6,5
2020-9-6,4
2020-9-5,4
2020-9-5,4
2020-9-5,6
2020-9-5,4
2020-9-3,4
2020-9-3,4
2020-9-3,4
2020-9-3,6
2020-9-3,4
2020-9-2,4
2020-9-2,4
2020-9-2,4
2020-8-31,5
2020-8-31,4
2020-8-30,7
2020-8-30,4
2020-8-30,4
2020-8-30,5
2020-8-30,4
2020-8-30,5
2020-8-30,5
2020-8-29,4
2020-8-29,6
2020-8-28,4
2020-8-28,4
2020-8-28,5
2020-8-27,4
2020-8-26,4
2020-8-26,4
2020-8-26,4
2020-8-25,5
2020-8-25,4
2020-8-24,4
2020-8-24,4
2020-8-24,4
2020-8-24,5
2020-8-23,7
2020-8-23,4
2020-8-23,5
2020-8-23,6
2020-8-23,4
2020-8-23,4
2020-8-22,4
2020-8-22,4
2020-8-19,4
2020-8-19,6
2020-8-18,5
2020-8-18,4
2020-8-18,4
2020-8-17,5
2020-8-17,4
2020-8-17,5
2020-8-16,4
2020-8-16,11
2020-8-16,4
2020-8-16,4
2020-8-16,6
2020-8-16,4
